2020-08-03 10:36:59.006 [restartedMain] INFO  o.s.security.web.DefaultSecurityFilterChain(DefaultSecurityFilterChain.java 43)  - Creating filter chain: Ant [pattern='/health'], []
2020-08-03 10:36:59.006 [restartedMain] INFO  o.s.security.web.DefaultSecurityFilterChain(DefaultSecurityFilterChain.java 43)  - Creating filter chain: Ant [pattern='/swagger-resources'], []
2020-08-03 10:36:59.007 [restartedMain] INFO  o.s.security.web.DefaultSecurityFilterChain(DefaultSecurityFilterChain.java 43)  - Creating filter chain: Ant [pattern='/swagger-ui.html'], []
2020-08-03 10:36:59.007 [restartedMain] INFO  o.s.security.web.DefaultSecurityFilterChain(DefaultSecurityFilterChain.java 43)  - Creating filter chain: Ant [pattern='/webjars/**'], []
2020-08-03 10:36:59.008 [restartedMain] INFO  o.s.security.web.DefaultSecurityFilterChain(DefaultSecurityFilterChain.java 43)  - Creating filter chain: Ant [pattern='/v2/api-docs/**'], []
2020-08-03 10:36:59.073 [restartedMain] INFO  o.s.security.web.DefaultSecurityFilterChain(DefaultSecurityFilterChain.java 43)  - Creating filter chain: any request, [org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@2e8b928e, org.springframework.security.web.context.SecurityContextPersistenceFilter@19475f6e, org.springframework.security.web.header.HeaderWriterFilter@2f3f5a72, org.springframework.web.filter.CorsFilter@5899018d, org.springframework.security.web.authentication.logout.LogoutFilter@4af005cc, org.singhlee.admin.interceptor.AuthenticationTokenFilter@2fc6506e, org.springframework.security.web.authentication.UsernamePasswordAuthenticationFilter@10b2f646, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@3fac0df5, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@174a7ddc, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@2caf1d2d, org.springframework.security.web.session.SessionManagementFilter@3ac9e931, org.springframework.security.web.access.ExceptionTranslationFilter@512c17ef, org.springframework.security.web.access.intercept.FilterSecurityInterceptor@b915bba]
2020-08-03 10:36:59.215 [restartedMain] INFO  s.d.s.w.PropertySourcedRequestMappingHandlerMapping(PropertySourcedRequestMappingHandlerMapping.java 69)  - Mapped URL path [/v2/api-docs] onto method [public org.springframework.http.ResponseEntity<springfox.documentation.spring.web.json.Json> springfox.documentation.swagger2.web.Swagger2Controller.getDocumentation(java.lang.String,javax.servlet.http.HttpServletRequest)]
2020-08-03 10:36:59.476 [restartedMain] INFO  o.s.scheduling.concurrent.ThreadPoolTaskExecutor(ExecutorConfigurationSupport.java 171)  - Initializing ExecutorService 'applicationTaskExecutor'
2020-08-03 10:36:59.588 [restartedMain] INFO  o.s.b.d.autoconfigure.OptionalLiveReloadServer(OptionalLiveReloadServer.java 57)  - LiveReload server is running on port 35729
2020-08-03 10:37:00.532 [restartedMain] INFO  s.d.s.web.plugins.DocumentationPluginsBootstrapper(DocumentationPluginsBootstrapper.java 160)  - Context refreshed
2020-08-03 10:37:00.569 [restartedMain] INFO  s.d.s.web.plugins.DocumentationPluginsBootstrapper(DocumentationPluginsBootstrapper.java 163)  - Found 1 custom documentation plugin(s)
2020-08-03 10:37:00.631 [restartedMain] INFO  s.d.spring.web.scanners.ApiListingReferenceScanner(ApiListingReferenceScanner.java 41)  - Scanning for api listing references
2020-08-03 10:37:00.953 [restartedMain] INFO  s.d.s.w.r.operation.CachingOperationNameGenerator(CachingOperationNameGenerator.java 40)  - Generating unique operation named: listUsingGET_1
2020-08-03 10:37:00.954 [restartedMain] INFO  s.d.s.w.r.operation.CachingOperationNameGenerator(CachingOperationNameGenerator.java 40)  - Generating unique operation named: listUsingHEAD_1
2020-08-03 10:37:00.957 [restartedMain] INFO  s.d.s.w.r.operation.CachingOperationNameGenerator(CachingOperationNameGenerator.java 40)  - Generating unique operation named: listUsingPOST_1
2020-08-03 10:37:00.959 [restartedMain] INFO  s.d.s.w.r.operation.CachingOperationNameGenerator(CachingOperationNameGenerator.java 40)  - Generating unique operation named: listUsingPUT_1
2020-08-03 10:37:00.960 [restartedMain] INFO  s.d.s.w.r.operation.CachingOperationNameGenerator(CachingOperationNameGenerator.java 40)  - Generating unique operation named: listUsingPATCH_1
